ClubName,League,Season Year,Positions
Arsenal FC,Premier League,2025,1
Manchester City FC,Premier League,2025,2
Aston Villa FC,Premier League,2025,3
Manchester United FC,Premier League,2025,4
Chelsea FC,Premier League,2025,5
Liverpool FC,Premier League,2025,6
Brentford FC,Premier League,2025,7
Fulham FC,Premier League,2025,8
Everton FC,Premier League,2025,9
Newcastle United FC,Premier League,2025,10
Sunderland AFC,Premier League,2025,11
AFC Bournemouth,Premier League,2025,12
Brighton & Hove Albion FC,Premier League,2025,13
Tottenham Hotspur FC,Premier League,2025,14
Crystal Palace FC,Premier League,2025,15
Leeds United FC,Premier League,2025,16
Nottingham Forest FC,Premier League,2025,17
West Ham United FC,Premier League,2025,18
Burnley FC,Premier League,2025,19
Wolverhampton Wanderers FC,Premier League,2025,20
Coventry City FC,Championship,2025,1
Middlesbrough FC,Championship,2025,2
Hull City AFC,Championship,2025,3
Ipswich Town FC,Championship,2025,4
Millwall FC,Championship,2025,5
Wrexham AFC,Championship,2025,6
Derby County FC,Championship,2025,7
Preston North End FC,Championship,2025,8
Bristol City FC,Championship,2025,9
Watford FC,Championship,2025,10
Queens Park Rangers FC,Championship,2025,11
Stoke City FC,Championship,2025,12
Birmingham City FC,Championship,2025,13
Southampton FC,Championship,2025,14
Swansea City AFC,Championship,2025,15
Leicester City FC,Championship,2025,16
Sheffield United FC,Championship,2025,17
Charlton Athletic FC,Championship,2025,18
Norwich City FC,Championship,2025,19
Portsmouth FC,Championship,2025,20
West Bromwich Albion FC,Championship,2025,21
Blackburn Rovers FC,Championship,2025,22
Oxford United FC,Championship,2025,23
Sheffield Wednesday FC,Championship,2025,24
Cardiff City FC,League One,2025,1
Lincoln City FC,League One,2025,2
Bolton Wanderers FC,League One,2025,3
Stockport County FC,League One,2025,4
Bradford City AFC,League One,2025,5
Huddersfield Town AFC,League One,2025,6
Luton Town FC,League One,2025,7
Stevenage FC,League One,2025,8
Wycombe Wanderers FC,League One,2025,9
Reading FC,League One,2025,10
Mansfield Town FC,League One,2025,11
Peterborough United FC,League One,2025,12
Exeter City FC,League One,2025,13
Plymouth Argyle FC,League One,2025,14
Barnsley FC,League One,2025,15
Blackpool FC,League One,2025,16
AFC Wimbledon,League One,2025,17
Leyton Orient FC,League One,2025,18
Wigan Athletic FC,League One,2025,19
Rotherham United FC,League One,2025,20
Burton Albion FC,League One,2025,21
Doncaster Rovers FC,League One,2025,22
Northampton Town FC,League One,2025,23
Port Vale FC,League One,2025,24
Bromley FC,League Two,2025,1
Cambridge United FC,League Two,2025,2
Salford City FC,League Two,2025,3
Milton Keynes Dons FC,League Two,2025,4
Notts County FC,League Two,2025,5
Swindon Town FC,League Two,2025,6
Walsall FC,League Two,2025,7
Chesterfield FC,League Two,2025,8
Grimsby Town FC,League Two,2025,9
Crewe Alexandra FC,League Two,2025,10
Colchester United FC,League Two,2025,11
Barnet FC,League Two,2025,12
Accrington Stanley FC,League Two,2025,13
Gillingham FC,League Two,2025,14
Fleetwood Town FC,League Two,2025,15
Oldham Athletic AFC,League Two,2025,16
Tranmere Rovers FC,League Two,2025,17
Cheltenham Town FC,League Two,2025,18
Crawley Town FC,League Two,2025,19
Barrow AFC,League Two,2025,20
Bristol Rovers FC,League Two,2025,21
Shrewsbury Town FC,League Two,2025,22
Newport County AFC,League Two,2025,23
Harrogate Town AFC,League Two,2025,24
